1.99	0.00	17.80	2.38	0.00	19.76	1.99	-1.79	17.80	1.00	41.00	10.67	0.00	0.00
1.99	-1.79	17.80	2.38	0.00	19.76	2.38	-1.91	19.76	1.00	41.00	11.33	0.00	0.00
2.38	0.00	19.76	2.78	0.00	21.72	2.38	-1.91	19.76	1.00	41.00	12.67	0.00	0.00
2.38	-1.91	19.76	2.78	0.00	21.72	2.78	-2.00	21.72	1.00	41.00	13.33	0.00	0.00
2.78	0.00	21.72	3.18	0.00	23.68	2.78	-2.00	21.72	1.00	41.00	14.67	0.00	0.00
2.78	-2.00	21.72	3.18	0.00	23.68	3.18	-2.00	23.68	1.00	41.00	15.33	0.00	0.00
2.78	-2.00	21.72	3.18	-2.00	23.68	3.18	-2.13	23.68	1.00	41.00	15.33	0.00	0.00
3.18	0.00	23.68	3.58	0.00	25.64	3.18	-2.00	23.68	1.00	41.00	16.67	0.00	0.00
3.18	-2.00	23.68	3.58	0.00	25.64	3.58	-2.00	25.64	1.00	41.00	17.33	0.00	0.00
3.18	-2.00	23.68	3.58	-2.00	25.64	3.18	-2.13	23.68	1.00	41.00	16.67	0.00	0.00
3.18	-2.13	23.68	3.58	-2.00	25.64	3.58	-2.22	25.64	1.00	41.00	17.33	0.00	0.00
3.58	0.00	25.64	3.97	0.00	27.60	3.58	-2.00	25.64	1.00	41.00	18.67	0.00	0.00
3.58	-2.00	25.64	3.97	0.00	27.60	3.97	-2.00	27.60	1.00	41.00	19.33	0.00	0.00
3.58	-2.00	25.64	3.97	-2.00	27.60	3.58	-2.22	25.64	1.00	41.00	18.67	0.00	0.00
3.58	-2.22	25.64	3.97	-2.00	27.60	3.97	-2.26	27.60	1.00	41.00	19.33	0.00	0.00
3.97	0.00	27.60	4.37	0.00	29.56	3.97	-2.00	27.60	1.00	41.00	20.67	0.00	0.00
3.97	-2.00	27.60	4.37	0.00	29.56	4.37	-2.00	29.56	1.00	41.00	21.33	0.00	0.00
3.97	-2.00	27.60	4.37	-2.00	29.56	3.97	-2.26	27.60	1.00	41.00	20.67	0.00	0.00
3.97	-2.26	27.60	4.37	-2.00	29.56	4.37	-2.25	29.56	1.00	41.00	21.33	0.00	0.00
4.37	0.00	29.56	4.77	0.00	31.52	4.37	-2.00	29.56	1.00	41.00	22.67	0.00	0.00
4.37	-2.00	29.56	4.77	0.00	31.52	4.77	-2.00	31.52	1.00	41.00	23.33	0.00	0.00
4.37	-2.00	29.56	4.77	-2.00	31.52	4.37	-2.25	29.56	1.00	41.00	22.67	0.00	0.00
4.37	-2.25	29.56	4.77	-2.00	31.52	4.77	-2.22	31.52	1.00	41.00	23.33	0.00	0.00
4.77	0.00	31.52	5.17	0.00	33.48	4.77	-2.00	31.52	1.00	41.00	24.67	0.00	0.00
4.77	-2.00	31.52	5.17	0.00	33.48	5.17	-2.00	33.48	1.00	41.00	25.33	0.00	0.00
4.77	-2.00	31.52	5.17	-2.00	33.48	4.77	-2.22	31.52	1.00	41.00	24.67	0.00	0.00
4.77	-2.22	31.52	5.17	-2.00	33.48	5.17	-2.17	33.48	1.00	41.00	25.33	0.00	0.00
5.17	0.00	33.48	5.56	0.00	35.44	5.17	-2.00	33.48	1.00	41.00	26.67	0.00	0.00
5.17	-2.00	33.48	5.56	0.00	35.44	5.56	-2.00	35.44	1.00	41.00	27.33	0.00	0.00
5.17	-2.00	33.48	5.56	-2.00	35.44	5.17	-2.17	33.48	1.00	41.00	26.67	0.00	0.00
5.17	-2.17	33.48	5.56	-2.00	35.44	5.56	-2.11	35.44	1.00	41.00	27.33	0.00	0.00
5.56	0.00	35.44	5.96	0.00	37.40	5.56	-2.00	35.44	1.00	41.00	28.67	0.00	0.00
5.56	-2.00	35.44	5.96	0.00	37.40	5.96	-2.00	37.40	1.00	41.00	29.33	0.00	0.00
5.56	-2.00	35.44	5.96	-2.00	37.40	5.56	-2.11	35.44	1.00	41.00	28.67	0.00	0.00
5.96	0.00	37.40	6.36	0.00	39.36	5.96	-2.00	37.40	1.00	41.00	30.67	0.00	0.00
5.96	-2.00	37.40	6.36	0.00	39.36	6.36	-1.90	39.36	1.00	41.00	31.33	0.00	0.00
6.36	0.00	39.36	6.75	0.00	41.32	6.36	-1.90	39.36	1.00	41.00	32.67	0.00	0.00
6.36	-1.90	39.36	6.75	0.00	41.32	6.75	-1.64	41.32	1.00	41.00	33.33	0.00	0.00
6.75	0.00	41.32	7.15	0.00	43.28	6.75	-1.64	41.32	1.00	41.00	34.67	0.00	0.00
6.75	-1.64	41.32	7.15	0.00	43.28	7.15	-1.27	43.28	1.00	41.00	35.33	0.00	0.00
7.15	0.00	43.28	7.55	0.00	45.24	7.15	-1.27	43.28	1.00	41.00	36.67	0.00	0.00
7.15	-1.27	43.28	7.55	0.00	45.24	7.55	-0.80	45.24	1.00	41.00	37.33	0.00	0.00
7.55	0.00	45.24	7.95	0.00	47.20	7.55	-0.80	45.24	1.00	41.00	38.67	0.00	0.00
7.55	-0.80	45.24	7.95	0.00	47.20	7.95	-0.28	47.20	1.00	41.00	39.33	0.00	0.00
7.95	0.00	47.20	8.15	0.00	48.18	7.95	-0.28	47.20	1.00	41.00	40.67	0.00	0.00
0.00	0.00	7.33	0.42	0.32	9.26	-1.22	1.59	7.33	2.00	41.00	0.67	0.00	0.00
-1.22	1.59	7.33	0.42	0.32	9.26	-0.36	1.34	9.26	2.00	41.00	1.33	0.00	0.00
-1.22	1.59	7.33	-0.36	1.34	9.26	-1.38	1.79	7.33	2.00	41.00	0.67	0.00	0.00
0.42	0.32	9.26	0.84	0.64	11.19	-0.36	1.34	9.26	2.00	41.00	2.67	0.00	0.00
-0.36	1.34	9.26	0.84	0.64	11.19	-0.03	1.77	11.19	2.00	41.00	3.33	0.00	0.00
0.84	0.64	11.19	1.25	0.96	13.12	-0.03	1.77	11.19	2.00	41.00	4.67	0.00	0.00
-0.03	1.77	11.19	1.25	0.96	13.12	0.31	2.20	13.12	2.00	41.00	5.33	0.00	0.00
1.25	0.96	13.12	1.67	1.28	15.05	0.31	2.20	13.12	2.00	41.00	6.67	0.00	0.00
0.31	2.20	13.12	1.67	1.28	15.05	0.65	2.62	15.05	2.00	41.00	7.33	0.00	0.00
1.67	1.28	15.05	2.09	1.60	16.98	0.65	2.62	15.05	2.00	41.00	8.67	0.00	0.00
0.65	2.62	15.05	2.09	1.60	16.98	1.00	3.03	16.98	2.00	41.00	9.33	0.00	0.00
2.09	1.60	16.98	2.51	1.93	18.91	1.00	3.03	16.98	2.00	41.00	10.67	0.00	0.00
1.00	3.03	16.98	2.51	1.93	18.91	1.35	3.44	18.91	2.00	41.00	11.33	0.00	0.00
2.51	1.93	18.91	2.93	2.25	20.84	1.35	3.44	18.91	2.00	41.00	12.67	0.00	0.00
1.35	3.44	18.91	2.93	2.25	20.84	1.71	3.83	20.84	2.00	41.00	13.33	0.00	0.00
2.93	2.25	20.84	3.34	2.57	22.77	1.71	3.83	20.84	2.00	41.00	14.67	0.00	0.00
1.71	3.83	20.84	3.34	2.57	22.77	2.13	4.15	22.77	2.00	41.00	15.33	0.00	0.00
1.71	3.83	20.84	2.13	4.15	22.77	2.05	4.26	22.77	2.00	41.00	15.33	0.00	0.00
3.34	2.57	22.77	3.76	2.89	24.70	2.13	4.15	22.77	2.00	41.00	16.67	0.00	0.00
2.13	4.15	22.77	3.76	2.89	24.70	2.55	4.47	24.70	2.00	41.00	17.33	0.00	0.00
2.13	4.15	22.77	2.55	4.47	24.70	2.05	4.26	22.77	2.00	41.00	16.67	0.00	0.00
2.05	4.26	22.77	2.55	4.47	24.70	2.41	4.65	24.70	2.00	41.00	17.33	0.00	0.00
3.76	2.89	24.70	4.18	3.21	26.63	2.55	4.47	24.70	2.00	41.00	18.67	0.00	0.00
2.55	4.47	24.70	4.18	3.21	26.63	2.96	4.80	26.63	2.00	41.00	19.33	0.00	0.00
2.55	4.47	24.70	2.96	4.80	26.63	2.41	4.65	24.70	2.00	41.00	18.67	0.00	0.00
2.41	4.65	24.70	2.96	4.80	26.63	2.81	5.00	26.63	2.00	41.00	19.33	0.00	0.00
4.18	3.21	26.63	4.60	3.53	28.56	2.96	4.80	26.63	2.00	41.00	20.67	0.00	0.00
2.96	4.80	26.63	4.60	3.53	28.56	3.38	5.12	28.56	2.00	41.00	21.33	0.00	0.00
2.96	4.80	26.63	3.38	5.12	28.56	2.81	5.00	26.63	2.00	41.00	20.67	0.00	0.00
2.81	5.00	26.63	3.38	5.12	28.56	3.23	5.32	28.56	2.00	41.00	21.33	0.00	0.00
4.60	3.53	28.56	5.02	3.85	30.49	3.38	5.12	28.56	2.00	41.00	22.67	0.00	0.00
3.38	5.12	28.56	5.02	3.85	30.49	3.80	5.44	30.49	2.00	41.00	23.33	0.00	0.00
3.38	5.12	28.56	3.80	5.44	30.49	3.23	5.32	28.56	2.00	41.00	22.67	0.00	0.00
3.23	5.32	28.56	3.80	5.44	30.49	3.66	5.61	30.49	2.00	41.00	23.33	0.00	0.00
5.02	3.85	30.49	5.44	4.17	32.41	3.80	5.44	30.49	2.00	41.00	24.67	0.00	0.00
3.80	5.44	30.49	5.44	4.17	32.41	4.22	5.76	32.41	2.00	41.00	25.33	0.00	0.00
3.80	5.44	30.49	4.22	5.76	32.41	3.66	5.61	30.49	2.00	41.00	24.67	0.00	0.00
3.66	5.61	30.49	4.22	5.76	32.41	4.11	5.90	32.41	2.00	41.00	25.33	0.00	0.00
5.44	4.17	32.41	5.85	4.49	34.34	4.22	5.76	32.41	2.00	41.00	26.67	0.00	0.00
4.22	5.76	32.41	5.85	4.49	34.34	4.64	6.08	34.34	2.00	41.00	27.33	0.00	0.00
4.22	5.76	32.41	4.64	6.08	34.34	4.11	5.90	32.41	2.00	41.00	26.67	0.00	0.00
4.11	5.90	32.41	4.64	6.08	34.34	4.57	6.16	34.34	2.00	41.00	27.33	0.00	0.00
5.85	4.49	34.34	6.27	4.81	36.27	4.64	6.08	34.34	2.00	41.00	28.67	0.00	0.00
4.64	6.08	34.34	6.27	4.81	36.27	5.05	6.40	36.27	2.00	41.00	29.33	0.00	0.00
4.64	6.08	34.34	5.05	6.40	36.27	4.57	6.16	34.34	2.00	41.00	28.67	0.00	0.00
6.27	4.81	36.27	6.69	5.13	38.20	5.05	6.40	36.27	2.00	41.00	30.67	0.00	0.00
5.05	6.40	36.27	6.69	5.13	38.20	5.53	6.64	38.20	2.00	41.00	31.33	0.00	0.00
6.69	5.13	38.20	7.11	5.45	40.13	5.53	6.64	38.20	2.00	41.00	32.67	0.00	0.00
5.53	6.64	38.20	7.11	5.45	40.13	6.11	6.76	40.13	2.00	41.00	33.33	0.00	0.00
7.11	5.45	40.13	7.53	5.78	42.06	6.11	6.76	40.13	2.00	41.00	34.67	0.00	0.00
6.11	6.76	40.13	7.53	5.78	42.06	6.76	6.78	42.06	2.00	41.00	35.33	0.00	0.00
7.53	5.78	42.06	7.94	6.10	43.99	6.76	6.78	42.06	2.00	41.00	36.67	0.00	0.00
6.76	6.78	42.06	7.94	6.10	43.99	7.46	6.73	43.99	2.00	41.00	37.33	0.00	0.00
7.94	6.10	43.99	8.36	6.42	45.92	7.46	6.73	43.99	2.00	41.00	38.67	0.00	0.00
7.46	6.73	43.99	8.36	6.42	45.92	8.19	6.64	45.92	2.00	41.00	39.33	0.00	0.00
8.36	6.42	45.92	8.57	6.58	46.88	8.19	6.64	45.92	2.00	41.00	40.67	0.00	0.00
0.00	0.00	7.33	0.42	0.32	9.26	1.22	-1.59	7.33	2.00	41.00	0.67	0.00	0.00
1.22	-1.59	7.33	0.42	0.32	9.26	1.20	-0.70	9.26	2.00	41.00	1.33	0.00	0.00
1.22	-1.59	7.33	1.20	-0.70	9.26	1.38	-1.79	7.33	2.00	41.00	0.67	0.00	0.00
0.42	0.32	9.26	0.84	0.64	11.19	1.20	-0.70	9.26	2.00	41.00	2.67	0.00	0.00
1.20	-0.70	9.26	0.84	0.64	11.19	1.70	-0.49	11.19	2.00	41.00	3.33	0.00	0.00
0.84	0.64	11.19	1.25	0.96	13.12	1.70	-0.49	11.19	2.00	41.00	4.67	0.00	0.00
1.70	-0.49	11.19	1.25	0.96	13.12	2.20	-0.27	13.12	2.00	41.00	5.33	0.00	0.00
1.25	0.96	13.12	1.67	1.28	15.05	2.20	-0.27	13.12	2.00	41.00	6.67	0.00	0.00
2.20	-0.27	13.12	1.67	1.28	15.05	2.70	-0.05	15.05	2.00	41.00	7.33	0.00	0.00
1.67	1.28	15.05	2.09	1.60	16.98	2.70	-0.05	15.05	2.00	41.00	8.67	0.00	0.00
2.70	-0.05	15.05	2.09	1.60	16.98	3.18	0.18	16.98	2.00	41.00	9.33	0.00	0.00
2.09	1.60	16.98	2.51	1.93	18.91	3.18	0.18	16.98	2.00	41.00	10.67	0.00	0.00
3.18	0.18	16.98	2.51	1.93	18.91	3.67	0.41	18.91	2.00	41.00	11.33	0.00	0.00
2.51	1.93	18.91	2.93	2.25	20.84	3.67	0.41	18.91	2.00	41.00	12.67	0.00	0.00
3.67	0.41	18.91	2.93	2.25	20.84	4.14	0.66	20.84	2.00	41.00	13.33	0.00	0.00
2.93	2.25	20.84	3.34	2.57	22.77	4.14	0.66	20.84	2.00	41.00	14.67	0.00	0.00
4.14	0.66	20.84	3.34	2.57	22.77	4.56	0.98	22.77	2.00	41.00	15.33	0.00	0.00
4.14	0.66	20.84	4.56	0.98	22.77	4.64	0.87	22.77	2.00	41.00	15.33	0.00	0.00
3.34	2.57	22.77	3.76	2.89	24.70	4.56	0.98	22.77	2.00	41.00	16.67	0.00	0.00
4.56	0.98	22.77	3.76	2.89	24.70	4.98	1.30	24.70	2.00	41.00	17.33	0.00	0.00
4.56	0.98	22.77	4.98	1.30	24.70	4.64	0.87	22.77	2.00	41.00	16.67	0.00	0.00
4.64	0.87	22.77	4.98	1.30	24.70	5.11	1.13	24.70	2.00	41.00	17.33	0.00	0.00
3.76	2.89	24.70	4.18	3.21	26.63	4.98	1.30	24.70	2.00	41.00	18.67	0.00	0.00
4.98	1.30	24.70	4.18	3.21	26.63	5.40	1.62	26.63	2.00	41.00	19.33	0.00	0.00
4.98	1.30	24.70	5.40	1.62	26.63	5.11	1.13	24.70	2.00	41.00	18.67	0.00	0.00
5.11	1.13	24.70	5.40	1.62	26.63	5.56	1.42	26.63	2.00	41.00	19.33	0.00	0.00
4.18	3.21	26.63	4.60	3.53	28.56	5.40	1.62	26.63	2.00	41.00	20.67	0.00	0.00
5.40	1.62	26.63	4.60	3.53	28.56	5.82	1.94	28.56	2.00	41.00	21.33	0.00	0.00
5.40	1.62	26.63	5.82	1.94	28.56	5.56	1.42	26.63	2.00	41.00	20.67	0.00	0.00
5.56	1.42	26.63	5.82	1.94	28.56	5.97	1.74	28.56	2.00	41.00	21.33	0.00	0.00
4.60	3.53	28.56	5.02	3.85	30.49	5.82	1.94	28.56	2.00	41.00	22.67	0.00	0.00
5.82	1.94	28.56	5.02	3.85	30.49	6.24	2.26	30.49	2.00	41.00	23.33	0.00	0.00
5.82	1.94	28.56	6.24	2.26	30.49	5.97	1.74	28.56	2.00	41.00	22.67	0.00	0.00
5.97	1.74	28.56	6.24	2.26	30.49	6.37	2.09	30.49	2.00	41.00	23.33	0.00	0.00
5.02	3.85	30.49	5.44	4.17	32.41	6.24	2.26	30.49	2.00	41.00	24.67	0.00	0.00
6.24	2.26	30.49	5.44	4.17	32.41	6.65	2.58	32.41	2.00	41.00	25.33	0.00	0.00
6.24	2.26	30.49	6.65	2.58	32.41	6.37	2.09	30.49	2.00	41.00	24.67	0.00	0.00
6.37	2.09	30.49	6.65	2.58	32.41	6.76	2.45	32.41	2.00	41.00	25.33	0.00	0.00
5.44	4.17	32.41	5.85	4.49	34.34	6.65	2.58	32.41	2.00	41.00	26.67	0.00	0.00
6.65	2.58	32.41	5.85	4.49	34.34	7.07	2.91	34.34	2.00	41.00	27.33	0.00	0.00
6.65	2.58	32.41	7.07	2.91	34.34	6.76	2.45	32.41	2.00	41.00	26.67	0.00	0.00
6.76	2.45	32.41	7.07	2.91	34.34	7.14	2.82	34.34	2.00	41.00	27.33	0.00	0.00
5.85	4.49	34.34	6.27	4.81	36.27	7.07	2.91	34.34	2.00	41.00	28.67	0.00	0.00
7.07	2.91	34.34	6.27	4.81	36.27	7.49	3.23	36.27	2.00	41.00	29.33	0.00	0.00
7.07	2.91	34.34	7.49	3.23	36.27	7.14	2.82	34.34	2.00	41.00	28.67	0.00	0.00
6.27	4.81	36.27	6.69	5.13	38.20	7.49	3.23	36.27	2.00	41.00	30.67	0.00	0.00
7.49	3.23	36.27	6.69	5.13	38.20	7.85	3.62	38.20	2.00	41.00	31.33	0.00	0.00
6.69	5.13	38.20	7.11	5.45	40.13	7.85	3.62	38.20	2.00	41.00	32.67	0.00	0.00
7.85	3.62	38.20	7.11	5.45	40.13	8.11	4.15	40.13	2.00	41.00	33.33	0.00	0.00
7.11	5.45	40.13	7.53	5.78	42.06	8.11	4.15	40.13	2.00	41.00	34.67	0.00	0.00
8.11	4.15	40.13	7.53	5.78	42.06	8.30	4.77	42.06	2.00	41.00	35.33	0.00	0.00
7.53	5.78	42.06	7.94	6.10	43.99	8.30	4.77	42.06	2.00	41.00	36.67	0.00	0.00
8.30	4.77	42.06	7.94	6.10	43.99	8.43	5.46	43.99	2.00	41.00	37.33	0.00	0.00
7.94	6.10	43.99	8.36	6.42	45.92	8.43	5.46	43.99	2.00	41.00	38.67	0.00	0.00
8.43	5.46	43.99	8.36	6.42	45.92	8.53	6.20	45.92	2.00	41.00	39.33	0.00	0.00
8.36	6.42	45.92	8.57	6.58	46.88	8.53	6.20	45.92	2.00	41.00	40.67	0.00	0.00
0.00	0.00	6.67	0.17	0.63	8.56	-1.93	0.52	6.67	3.00	41.00	0.67	0.00	0.00
-1.93	0.52	6.67	0.17	0.63	8.56	-1.07	0.96	8.56	3.00	41.00	1.33	0.00	0.00
-1.93	0.52	6.67	-1.07	0.96	8.56	-2.18	0.58	6.67	3.00	41.00	0.67	0.00	0.00
0.17	0.63	8.56	0.34	1.26	10.45	-1.07	0.96	8.56	3.00	41.00	2.67	0.00	0.00
-1.07	0.96	8.56	0.34	1.26	10.45	-1.04	1.63	10.45	3.00	41.00	3.33	0.00	0.00
0.34	1.26	10.45	0.51	1.90	12.34	-1.04	1.63	10.45	3.00	41.00	4.67	0.00	0.00
-1.04	1.63	10.45	0.51	1.90	12.34	-1.00	2.30	12.34	3.00	41.00	5.33	0.00	0.00
0.51	1.90	12.34	0.68	2.53	14.23	-1.00	2.30	12.34	3.00	41.00	6.67	0.00	0.00
-1.00	2.30	12.34	0.68	2.53	14.23	-0.95	2.96	14.23	3.00	41.00	7.33	0.00	0.00
0.68	2.53	14.23	0.85	3.16	16.12	-0.95	2.96	14.23	3.00	41.00	8.67	0.00	0.00
-0.95	2.96	14.23	0.85	3.16	16.12	-0.89	3.62	16.12	3.00	41.00	9.33	0.00	0.00
0.85	3.16	16.12	1.02	3.79	18.01	-0.89	3.62	16.12	3.00	41.00	10.67	0.00	0.00
-0.89	3.62	16.12	1.02	3.79	18.01	-0.83	4.29	18.01	3.00	41.00	11.33	0.00	0.00
1.02	3.79	18.01	1.19	4.42	19.90	-0.83	4.29	18.01	3.00	41.00	12.67	0.00	0.00
-0.83	4.29	18.01	1.19	4.42	19.90	-0.75	4.94	19.90	3.00	41.00	13.33	0.00	0.00
1.19	4.42	19.90	1.35	5.06	21.79	-0.75	4.94	19.90	3.00	41.00	14.67	0.00	0.00
-0.75	4.94	19.90	1.35	5.06	21.79	-0.58	5.57	21.79	3.00	41.00	15.33	0.00	0.00
-0.75	4.94	19.90	-0.58	5.57	21.79	-0.71	5.61	21.79	3.00	41.00	15.33	0.00	0.00
1.35	5.06	21.79	1.52	5.69	23.68	-0.58	5.57	21.79	3.00	41.00	16.67	0.00	0.00
-0.58	5.57	21.79	1.52	5.69	23.68	-0.41	6.21	23.68	3.00	41.00	17.33	0.00	0.00
-0.58	5.57	21.79	-0.41	6.21	23.68	-0.71	5.61	21.79	3.00	41.00	16.67	0.00	0.00
-0.71	5.61	21.79	-0.41	6.21	23.68	-0.62	6.26	23.68	3.00	41.00	17.33	0.00	0.00
